Frage;Antwort
"Wie groß ist die Winkelsumme im Dreieck?";"180°."
"Was gilt für Scheitelwinkel?";"Sie sind gleich groß."
"Was gilt für Nebenwinkel?";"Sie ergänzen sich zu 180°."
"Was gilt an parallelen Geraden für Stufen- und Wechselwinkel?";"Sie sind jeweils gleich groß."
"Wie lautet der Satz des Pythagoras?";"Im rechtwinkligen Dreieck: a² + b² = c² (c = Hypotenuse)."
"Katheten a=3, b=4. Wie lang ist die Hypotenuse?";"c = √(9+16) = √25 = 5."
"Wozu dienen die Strahlensätze?";"Streckenverhältnisse bei parallelen Schnitten – z. B. indirektes Messen (Höhe über Schatten)."
"Nenne die Kongruenzsätze für Dreiecke.";"SSS, SWS, WSW, SsW."
"sin α = ?";"Gegenkathete / Hypotenuse."
"cos α = ?";"Ankathete / Hypotenuse."
"tan α = ?";"Gegenkathete / Ankathete (= sin α / cos α)."
"Merkspruch für sin/cos/tan?";"GAGA – Hühner AH: Gegen/Hypotenuse, An/Hypotenuse, Gegen/An."
"Hypotenuse 10 m, α=30°. Wie lang ist die Gegenkathete?";"a = 10 · sin 30° = 10 · 0,5 = 5 m."
"Wie berechnet man einen Winkel aus tan α = 0,577 ?";"α = tan⁻¹(0,577) = 30°."
"Wie lautet der Sinussatz?";"a/sin α = b/sin β = c/sin γ."
"Wie lautet der Kosinussatz?";"c² = a² + b² − 2·a·b·cos γ."
"Wann nutzt man Kosinussatz statt Pythagoras?";"Bei beliebigen Dreiecken (SWS oder SSS). Bei γ=90° wird er zum Pythagoras."
"Volumen eines Quaders?";"V = a · b · c."
"Volumen eines Zylinders?";"V = π · r² · h."
"Oberfläche einer Kugel?";"O = 4 · π · r²."
"Volumen einer Kugel?";"V = (4/3) · π · r³."
"Volumen von Pyramide bzw. Kegel?";"Pyramide V = ⅓·G·h; Kegel V = ⅓·π·r²·h."
"Fläche und Umfang eines Kreises?";"A = π·r²; U = 2·π·r."
"Fläche eines Dreiecks?";"A = ½ · Grundseite · Höhe."
"Was ist Bogenmaß und wie rechnet man um?";"Winkel im Radiant; Vollkreis = 2π; rad = (π/180°)·Grad. Bsp: 90° = π/2."
"Warum steckt man auf der Baustelle rechtwinklig ab?";"Bei flachem Schnittwinkel wirkt sich ein kleiner Messfehler viel stärker auf die Punktlage aus."
"Wie prüfst du einen rechten Winkel nur mit dem Maßband?";"3-4-5-Regel: 3 m und 4 m abtragen, Diagonale muss 5 m sein (Umkehrung des Pythagoras)."
"Welche Maßkombination nimmst du bei großen Bauwerken?";"Vielfache wie 6-8-10 oder 9-12-15 – je länger, desto genauer."
"Wie prüfst du eine Bodenplatte auf Rechtwinkligkeit?";"Beide Diagonalen messen – sie müssen gleich lang sein."
"Was besagt der Satz des Thales?";"Liegt C auf dem Kreis über dem Durchmesser AB, ist der Winkel bei C immer 90°."
"Wie steht die Tangente zum Radius?";"Senkrecht im Berührpunkt."
"Wo schneiden sich die Seitenhalbierenden?";"Im Schwerpunkt – er teilt jede Seitenhalbierende im Verhältnis 2:1 von der Ecke aus."
"45° Dachneigung – wie viel Prozent?";"100 % (tan45° = 1). Nicht 45 %!"
"Wie rechnest du Neigung von Grad in Prozent um?";"Prozent = tan(Winkel) · 100; zurück: Winkel = tan⁻¹(Prozent/100)."
"Wann Sinussatz, wann Kosinussatz?";"Sinussatz: Seite mit Gegenwinkel bekannt. Kosinussatz: SWS oder SSS."
"Warum ist der Kosinussatz der verallgemeinerte Pythagoras?";"Bei γ = 90° ist cos90° = 0, dann bleibt c² = a² + b²."
"Dreiecksfläche aus zwei Seiten und Zwischenwinkel?";"A = ½ · a · b · sin γ."
"Warum ist eine Baugrube mit Böschung ein Pyramidenstumpf?";"Weil Sohle und Oberkante unterschiedlich groß und parallel sind."
"Wie berechnest du das Volumen eines Stumpfes?";"V = (h/3)·(G₁ + √(G₁·G₂) + G₂) – mit dem geometrischen Mittel."
"Welcher Fehler entsteht mit der mittleren Fläche bei Baugruben?";"Zu großes Volumen (bei typischen Grubenmaßen 3–4 % zu viel) – nur die Stumpfformel ist korrekt."
"Warum rechnet man Streifenfundamente über die Mittellinie?";"Sonst werden die vier Ecken doppelt gezählt."
"Was ist der Auflockerungsfaktor beim Aushub?";"1,20 bis 1,35 – gelöster Boden nimmt mehr Volumen ein als gewachsener."
"Wozu dient die Mantelfläche beim Zylinder in der Praxis?";"Sie ist die benötigte Schalungsfläche bei Rundstützen."
"Wie hängen Volumen und Dichte zusammen?";"m = V · ρ. Stahlbeton 2,5 t/m³, Beton 2,4, Stahl 7,85, Kies 1,6."
