Frage;Antwort
"Wie rechnet man Celsius in Kelvin um?";"T = 273,15 K + ϑ; umgekehrt ϑ = (T − 273,15) °C."
"Wo liegt der absolute Nullpunkt?";"Bei 0 K = −273,15 °C."
"Ist eine Temperaturdifferenz in K und °C gleich groß?";"Ja, ΔT = Δϑ – nur die Nullpunkte der Skalen unterscheiden sich."
"Formel für die Längenausdehnung?";"Δl = α · l₁ · Δϑ bzw. l₂ = l₁(1 + α·Δϑ)."
"Formel für die Volumenausdehnung?";"ΔV = γ · V₁ · Δϑ; für feste Körper gilt γ = 3α."
"12-m-Stahlträger (α=12·10⁻⁶ 1/K) wird 30 K wärmer – Ausdehnung?";"Δl = 12·10⁻⁶ · 12 · 30 = 4,32 mm."
"Wie lautet die allgemeine Zustandsgleichung idealer Gase?";"p·V/T = konstant, also p₁V₁/T₁ = p₂V₂/T₂ (T in Kelvin!)."
"Isobare Zustandsänderung – was ist konstant und wie lautet das Gesetz?";"Druck konstant; V₁/V₂ = T₁/T₂ (Gay-Lussac)."
"Isochore Zustandsänderung?";"Volumen konstant; p₁/p₂ = T₁/T₂."
"Isotherme Zustandsänderung?";"Temperatur konstant; p₁·V₁ = p₂·V₂ (Boyle-Mariotte)."
"Nenne die drei Arten der Wärmeausbreitung.";"Wärmeleitung, Konvektion (Strömung), Wärmestrahlung."
"Formel für den Wärmestrom durch eine Wand?";"Φ = Q/t = λ · A · (ϑ₁−ϑ₂) / l."
"Was bedeutet die Wärmeleitfähigkeit λ?";"Wie gut ein Stoff Wärme leitet [W/(m·K)] – kleiner Wert = gute Dämmung."
"Wie lautet der erste Hauptsatz der Wärmelehre?";"ΔU = Q + W – die innere Energie ändert sich durch Wärme und Arbeit."
"Wie berechnet man die Wärmemenge zum Erwärmen?";"Q = c · m · Δϑ."
"Was ist die spezifische Wärmekapazität c?";"Energie, die 1 kg eines Stoffes um 1 K erwärmt, in kJ/(kg·K). Wasser ≈ 4,19."
"50 kg Wasser von 15 auf 60 °C – Wärmemenge?";"Q = 4,19 · 50 · 45 ≈ 9427,5 kJ ≈ 2,62 kWh."
"Wärmekapazität eines Körpers?";"C = c · m [J/K]."
"Wie lautet die Mischungsregel?";"Q_ab = Q_auf – die abgegebene Wärme ist gleich der aufgenommenen."
"Formel für die Schmelzwärme?";"Q_m = q_m · m (q_m = spezifische Schmelzwärme in kJ/kg)."
"Formel für die Verdampfungswärme?";"Q_v = r_v · m (r_v = spezifische Verdampfungswärme in kJ/kg)."
"Was passiert mit der Temperatur beim Phasenübergang?";"Sie bleibt konstant – die gesamte Energie geht in die Umwandlung des Aggregatzustands."
"Spezifische Schmelz- und Verdampfungswärme von Wasser?";"Schmelzen ≈ 334 kJ/kg (0 °C), Verdampfen ≈ 2257 kJ/kg (100 °C)."
"Wie viele Joule hat eine Kilowattstunde?";"1 kWh = 3,6 · 10⁶ J."
"Warum funktioniert Stahlbeton überhaupt?";"Weil Beton und Stahl fast denselben Ausdehnungskoeffizienten haben (≈12·10⁻⁶ 1/K) – sonst würde die Bewehrung den Beton sprengen."
"Ausdehnungskoeffizient von Beton und Stahl?";"Beide etwa 10–12 · 10⁻⁶ 1/K."
"Wie stark dehnt sich PVC im Vergleich zu Stahl?";"Etwa 6- bis 7-mal stärker (80 statt 12 · 10⁻⁶ 1/K) – deshalb mehr Dehnungsausgleich nötig."
"Wie oft setzt man im Hochbau Dehnfugen?";"Etwa alle 30–50 m, Breite meist 20–25 mm."
"Was passiert, wenn sich ein Bauteil nicht ausdehnen kann?";"Es entsteht Zwängungsspannung σ = E·α·Δϑ – unabhängig von der Bauteillänge!"
